ds_index	size	processing_time	association_time
1	100k	21.7614901065826	11.919
1	100k	21.7614901065826	11.594
1	100k	21.7614901065826	11.687
1	100k	21.7614901065826	11.133
1	100k	21.7614901065826	11.271
1	10k	3.30778503417969	10.548
1	10k	3.30778503417969	10.524
1	10k	3.30778503417969	11.077
1	10k	3.30778503417969	10.756
1	10k	3.30778503417969	10.73
1	150k	40.7625777721405	12.093
1	150k	40.7625777721405	12.188
1	150k	40.7625777721405	13.059
1	150k	40.7625777721405	11.86
1	150k	40.7625777721405	12.001
1	200k	45.5724830627441	13.63
1	200k	45.5724830627441	14.988
1	200k	45.5724830627441	15.088
1	200k	45.5724830627441	13.735
1	200k	45.5724830627441	12.815
1	250k	80.5348761081696	12.751
1	250k	80.5348761081696	12.68
1	250k	80.5348761081696	12.329
1	250k	80.5348761081696	11.364
1	250k	80.5348761081696	11.486
1	25k	6.90281867980957	11.832
1	25k	6.90281867980957	11.714
1	25k	6.90281867980957	11.967
1	25k	6.90281867980957	11.585
1	25k	6.90281867980957	11.103
1	300k	78.494277715683	12.487
1	300k	78.494277715683	11.68
1	300k	78.494277715683	11.936
1	300k	78.494277715683	11.31
1	300k	78.494277715683	11.287
1	50k	11.292188167572	14.396
1	50k	11.292188167572	13.349
1	50k	11.292188167572	13.494
1	50k	11.292188167572	11.742
1	50k	11.292188167572	11.656
2	100k	20.3814573287964	11.934
2	100k	20.3814573287964	12.197
2	100k	20.3814573287964	12.17
2	100k	20.3814573287964	11.848
2	100k	20.3814573287964	11.609
2	10k	3.7276623249054	10.933
2	10k	3.7276623249054	10.965
2	10k	3.7276623249054	11.34
2	10k	3.7276623249054	10.746
2	10k	3.7276623249054	10.805
2	150k	43.5687129497528	12.323
2	150k	43.5687129497528	12.508
2	150k	43.5687129497528	13.018
2	150k	43.5687129497528	12.171
2	150k	43.5687129497528	12.247
2	200k	53.3986933231354	15.394
2	200k	53.3986933231354	14.139
2	200k	53.3986933231354	13.403
2	200k	53.3986933231354	12.489
2	200k	53.3986933231354	12.23
2	250k	64.7928438186646	12.587
2	250k	64.7928438186646	12.374
2	250k	64.7928438186646	12.363
