processing_time	score_time	association_time	size	ds_index
33.16370701789856	112.56880903244019	168.1795072555542	10k	ds_1
33.16370701789856	113.07186269760132	170.17671179771423	10k	ds_1
33.16370701789856	112.82522296905518	167.62159323692322	10k	ds_1
33.16370701789856	114.8197090625763	175.57551169395447	10k	ds_1
33.16370701789856	114.17153692245483	172.60858583450317	10k	ds_1
482.7196183204651	3336.396191596985	3405.607530117035	300k	ds_1
482.7196183204651	3510.5785603523254	3432.717772960663	300k	ds_1
482.7196183204651	3391.3999333381653	3288.8592269420624	300k	ds_1
482.7196183204651	3534.714195251465	3399.6579101085663	300k	ds_1
482.7196183204651	3447.111662864685	3301.4809432029724	300k	ds_1
400.5401768684387	2780.7651793956757	3029.4716069698334	250k	ds_1
400.5401768684387	2923.1502878665924	2831.789937019348	250k	ds_1
400.5401768684387	2965.650104045868	2827.3416533470154	250k	ds_1
400.5401768684387	2842.2895588874817	2961.1925411224365	250k	ds_1
400.5401768684387	2862.024498462677	2916.7765045166016	250k	ds_1
291.7335958480835	2287.8235034942627	2306.1894402503967	200k	ds_1
291.7335958480835	2300.304470539093	2274.1937391757965	200k	ds_1
291.7335958480835	2548.7234692573547	2353.8558089733124	200k	ds_1
291.7335958480835	2255.6151089668274	2426.7863323688507	200k	ds_1
291.7335958480835	2890.584420442581	2315.3035185337067	200k	ds_1
262.6585831642151	1748.7342369556427	1707.8479144573212	150k	ds_1
262.6585831642151	1669.2076106071472	1698.1888618469238	150k	ds_1
262.6585831642151	1727.8524751663208	1716.892786026001	150k	ds_1
262.6585831642151	1648.7252748012543	1667.3070876598358	150k	ds_1
262.6585831642151	1669.0728776454926	1625.6737730503082	150k	ds_1
160.90375566482544	1116.9942994117737	1227.4536123275757	100k	ds_1
160.90375566482544	1192.415747642517	1252.1089446544647	100k	ds_1
160.90375566482544	1160.898360490799	1232.198492527008	100k	ds_1
160.90375566482544	1160.2495155334473	1235.432716369629	100k	ds_1
160.90375566482544	1165.088227033615	1218.0544369220734	100k	ds_1
84.84812045097351	563.303201675415	651.0427823066711	50k	ds_1
84.84812045097351	558.7363631725311	642.0396800041199	50k	ds_1
84.84812045097351	557.0061888694763	617.3758561611176	50k	ds_1
84.84812045097351	556.9773659706116	583.4718239307404	50k	ds_1
84.84812045097351	550.9766912460327	599.5412781238556	50k	ds_1
48.4870810508728	264.89663648605347	367.08150267601013	25k	ds_1
48.4870810508728	264.93606400489807	313.6349492073059	25k	ds_1
48.4870810508728	269.7143259048462	369.14665699005127	25k	ds_1
48.4870810508728	278.29755187034607	457.99519658088684	25k	ds_1
48.4870810508728	505.5780735015869	533.6366431713104	25k	ds_1
484.8013801574707	3318.5176441669464	3377.159020423889	300k	ds_2
484.8013801574707	3390.49862408638	3621.795063972473	300k	ds_2
484.8013801574707	3394.232325553894	3281.5711476802826	300k	ds_2
484.8013801574707	3483.8327515125275	3384.824633836746	300k	ds_2
484.8013801574707	3401.883602142334	3390.4308812618256	300k	ds_2
401.61951446533203	2838.3984916210175	2819.355949163437	250k	ds_2
401.61951446533203	2826.8639793395996	2800.1129417419434	250k	ds_2
401.61951446533203	2811.9284114837646	2820.9691772460938	250k	ds_2
401.61951446533203	2954.171109676361	2955.9659276008606	250k	ds_2
401.61951446533203	2869.9794149398804	2856.7527828216553	250k	ds_2
264.06464886665344	2244.5107243061066	2366.2518401145935	200k	ds_2
264.06464886665344	2732.0636291503906	2277.6085855960846	200k	ds_2
264.06464886665344	2446.744569301605	2276.8239192962646	200k	ds_2
264.06464886665344	2245.033695936203	2298.375340938568	200k	ds_2
264.06464886665344	2380.0247960090637	2257.545906305313	200k	ds_2
203.90008544921875	1912.0301253795624	1715.4897639751434	150k	ds_2
203.90008544921875	1715.7586612701416	1710.2280704975128	150k	ds_2
203.90008544921875	1703.496202468872	1805.0877573490143	150k	ds_2
203.90008544921875	1649.5389258861542	1739.793762922287	150k	ds_2
203.90008544921875	1680.0120627880096	1623.452399969101	150k	ds_2
151.12669920921326	1119.984867811203	1165.1532940864563	100k	ds_2
151.12669920921326	1165.9204497337341	1184.1031982898712	100k	ds_2
151.12669920921326	1134.8744719028473	1152.8037383556366	100k	ds_2
151.12669920921326	1115.7793385982513	1157.1190657615662	100k	ds_2
151.12669920921326	1133.0791256427765	1159.6594915390015	100k	ds_2
81.22358298301697	551.2314786911011	609.0271034240723	50k	ds_2
81.22358298301697	551.935629606247	618.8878145217896	50k	ds_2
81.22358298301697	536.166791677475	606.0395817756653	50k	ds_2
81.22358298301697	554.7531535625458	580.2280819416046	50k	ds_2
81.22358298301697	555.2074685096741	593.1300330162048	50k	ds_2
57.644357442855835	344.7117908000946	363.5675678253174	25k	ds_2
57.644357442855835	372.73334789276123	415.5354995727539	25k	ds_2
57.644357442855835	291.5331645011902	357.90730810165405	25k	ds_2
57.644357442855835	290.61416029930115	377.4356698989868	25k	ds_2
57.644357442855835	291.83745980262756	341.2008888721466	25k	ds_2
33.903111934661865	120.23684859275818	169.01654171943665	10k	ds_2
33.903111934661865	113.8588240146637	171.59291076660156	10k	ds_2
33.903111934661865	112.81413435935974	169.83364248275757	10k	ds_2
33.903111934661865	115.66201448440552	176.31975436210632	10k	ds_2
33.903111934661865	114.77338600158691	173.94739437103271	10k	ds_2
489.894003868103	3418.078578233719	3514.250428915024	300k	ds_3
489.894003868103	3480.540233373642	3434.1731309890747	300k	ds_3
489.894003868103	3420.9782671928406	3485.199931383133	300k	ds_3
489.894003868103	3422.3191447257996	3325.1487102508545	300k	ds_3
489.894003868103	3501.334433555603	3250.697928905487	300k	ds_3
414.27456426620483	2798.408143043518	2833.475000858307	250k	ds_3
414.27456426620483	2857.252235889435	2921.274962902069	250k	ds_3
414.27456426620483	2879.211937904358	2858.248821735382	250k	ds_3
414.27456426620483	2791.245120048523	3051.9463782310486	250k	ds_3
414.27456426620483	3131.7890565395355	2917.8831264972687	250k	ds_3
266.52167534828186	2244.6065332889557	2283.1901910305023	200k	ds_3
266.52167534828186	2293.9024724960327	2245.055792093277	200k	ds_3
266.52167534828186	2307.442757129669	2256.8688881397247	200k	ds_3
266.52167534828186	2217.7957713603973	2239.6376740932465	200k	ds_3
266.52167534828186	2295.161471605301	2261.60413980484	200k	ds_3
155.82464408874512	1121.9978499412537	1184.8172626495361	100k	ds_3
155.82464408874512	1177.55961227417	1172.2367947101593	100k	ds_3
155.82464408874512	1102.618586063385	1167.941022157669	100k	ds_3
155.82464408874512	1174.8124639987946	1162.6355741024017	100k	ds_3
155.82464408874512	1110.1191074848175	1166.7301437854767	100k	ds_3
233.3258237838745	1775.2890930175781	1758.6797127723694	150k	ds_3
233.3258237838745	1713.5289340019226	1767.349318265915	150k	ds_3
233.3258237838745	1753.9776861667633	1747.8794214725494	150k	ds_3
233.3258237838745	1672.1781792640686	1704.838443517685	150k	ds_3
233.3258237838745	1652.309980392456	1649.145868062973	150k	ds_3
84.38119697570801	563.9789347648621	665.8685719966888	50k	ds_3
84.38119697570801	564.7371566295624	656.6013705730438	50k	ds_3
84.38119697570801	564.9490122795105	623.2450957298279	50k	ds_3
84.38119697570801	565.9850568771362	599.6016819477081	50k	ds_3
84.38119697570801	554.7689683437347	611.6516246795654	50k	ds_3
63.304311752319336	276.08615350723267	363.2008566856384	25k	ds_3
63.304311752319336	276.0790572166443	351.1897051334381	25k	ds_3
63.304311752319336	285.70264291763306	364.42545795440674	25k	ds_3
63.304311752319336	286.2636864185333	378.2343475818634	25k	ds_3
63.304311752319336	286.01033902168274	374.0046796798706	25k	ds_3
33.85917401313782	114.82775974273682	188.06816291809082	10k	ds_3
33.85917401313782	115.07853984832764	190.02144598960876	10k	ds_3
33.85917401313782	112.49189639091492	187.82497763633728	10k	ds_3
33.85917401313782	114.9050829410553	172.0437457561493	10k	ds_3
33.85917401313782	111.44180750846863	164.9331498146057	10k	ds_3
462.9745306968689	3411.0184366703033	3341.128401041031	300k	ds_4
462.9745306968689	3503.091775894165	3360.78466963768	300k	ds_4
462.9745306968689	3411.1750016212463	3229.467265844345	300k	ds_4
462.9745306968689	3512.3872661590576	3358.8755576610565	300k	ds_4
462.9745306968689	3436.1965885162354	3263.401799917221	300k	ds_4
411.37273120880127	2767.5762419700623	2768.797959804535	250k	ds_4
411.37273120880127	2864.2893776893616	2754.8933730125427	250k	ds_4
411.37273120880127	2856.6099343299866	2764.875589609146	250k	ds_4
411.37273120880127	2815.4977102279663	2774.932552576065	250k	ds_4
411.37273120880127	2814.065724849701	2721.786100625992	250k	ds_4
255.87210392951965	2218.9538748264313	2286.935028553009	200k	ds_4
255.87210392951965	2305.0311250686646	2288.154417991638	200k	ds_4
255.87210392951965	2245.3597588539124	2285.1112847328186	200k	ds_4
255.87210392951965	2215.3509995937347	2221.328511953354	200k	ds_4
255.87210392951965	2342.083214044571	2305.456080198288	200k	ds_4
279.80813694000244	1793.9258244037628	1759.394564628601	150k	ds_4
279.80813694000244	1692.6262629032135	1773.4976270198822	150k	ds_4
