cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	0.000314953795857455	0.989903326537291	0.95608954415705	0.806932395068928	0.832922939795314	0.992828494585484	0.146711514756432	0.644315036241527	0.885376502619291	0.852189858756074	0.999030146547886	0.992840731058725	0.084479680272493	0.852855040589272	0.999994403312573	0.352156251982029	0.999999686629755	0.83760547719547	0.999796283089265	0.372834117799754	0.686037225847906	0.514245454893031	0.317470814394385	0.999998348990761	0.843546684658001	0.886625366608208	0.992772310681707
Bladder.Bladder mesenchymal cell	0.183229085296754	0.999808346363116	0.821737447071851	0.0495849718626772	0.551636199611174	0.614760041279379	0.574148100748139	0.701106398037269	0.416447127392458	0.538734694100524	0.999762360381827	0.614895403868187	0.450018149284301	0.912812010939097	0.999967238578148	0.499418640492433	0.999394932917406	0.52935301311896	0.879101976896514	0.999986357314084	0.000264151089549767	0.467520019850567	0.17802860654454	0.708366905167561	0.909655494660833	0.419387852990225	0.613831227273046
Bladder.Luminal bladder epithelial cell	0.0673073495176002	0.948269998221608	0.863625930691659	0.973145709895203	0.797398076251079	0.991234321373259	0.492070598765844	0.960787215333652	0.855983538248847	0.843193545319406	0.997670146240452	0.991227216234028	0.178957406313811	0.496140634800542	0.999988191646363	0.886448308267351	0.999999815722988	0.942327755820149	0.998397339829061	0.397281209772701	0.923091673141304	0.798335680889751	0.671117664452122	0.999920769594475	0.924471497194614	0.855523208687326	0.99112173335703
Brain_Myeloid.macrophage	0.975618643833099	1.91165925152476e-05	0.944874311865692	0.999793689345314	0.81456536332801	2.23796098772909e-08	0.878988428262903	0.999755761261512	0.175211116722814	0.0130916911102757	2.72288782326213e-07	2.20211077118011e-08	0.485161251781291	0.64234844014229	1.84961939100056e-08	0.999980611584492	4.38441694134452e-18	0.997382444454553	0.0102116750794277	0.132816781919613	0.999742023755007	0.992117720941896	0.993981474054287	0.000554991533192383	0.967430383936752	0.175795493349243	2.33432310873162e-08
Brain_Myeloid.microglial cell	0.96634233184398	0.0412214550952867	0.968375382850614	0.979203381685404	0.365136276682699	0.0124894007527675	0.677486283515415	0.998253770627607	0.729556024013325	0.168299815187365	0.0157789660530894	0.0124724824268151	0.736796155163042	0.823183741786801	0.00243999087744933	0.998089323710282	0.000237285382094172	0.97718337037035	0.573008536670293	0.652311347820021	0.927152391673878	0.946331416998426	0.946680657186732	0.0453299988873269	0.906726028479683	0.730071676548329	0.0123815683501573
Brain_Non-Myeloid.Bergmann glial cell	0.741237787577946	0.999731204394475	0.000452603270069218	1.14871044623045e-06	0.938236807874127	0.998989228941177	0.694227664807634	4.19929425562713e-09	0.994378299767364	0.985838590867636	0.999997295577475	0.998987581633666	0.170034996633738	0.999957762911241	0.999994827827447	9.13822169425198e-06	0.999999981666654	2.0622253381653e-07	0.999999995232551	0.999999990402877	0.765617063490002	1.69992151397649e-05	1.04216251142785e-07	0.919929874561556	0.949271221009308	0.994470996931173	0.998978882611731
Brain_Non-Myeloid.astrocyte	0.79701160056773	0.994560773797595	0.000311116962295331	2.45635442957566e-06	0.997309330123298	0.992873460688077	0.610437987225541	5.5971005314475e-08	0.919113273092024	0.878509174859691	0.999745380004641	0.992865847670742	0.316833096907498	0.999921571827016	0.999985415817427	0.00109305068058395	0.999999818517132	7.2671048718577e-07	0.999998678489393	0.999999999173008	0.9030107108731	0.0019375003804436	3.78744743997699e-06	0.912621868361422	0.905192868465895	0.919636626367787	0.992827351199285
Brain_Non-Myeloid.brain pericyte	2.22583156449797e-05	0.998003397079747	0.0499967139397606	0.000481765292300699	7.97684502273146e-10	0.996983139505904	0.00280811004823095	0.00563175373021457	0.010790054439907	0.0194444126137408	0.991752226030531	0.996977679109876	0.0013720000968722	0.447841450950177	0.698245637189911	0.710162552849356	0.366190629170905	0.194405681304655	0.996335937839262	0.608514268760452	2.16918438663001e-17	0.84592422098101	0.376119398032885	0.998750667043393	0.882709842994154	0.0112718671875577	0.99695099349675
Brain_Non-Myeloid.endothelial cell	0.025049573893491	0.970135839287321	0.893993074769535	0.893123639283189	0.0488234021342233	0.175710209507668	0.36025317867089	0.917739629794205	0.150461427563149	0.398748338429823	0.97166126622165	0.175877384267919	0.442600250675188	0.396544099473855	0.191133452628675	0.360139840313531	0.440768337472988	0.634301078221	0.946567506097211	0.958539687557141	1.50905697815405e-05	0.890191795264111	0.632222161474125	0.724705526541414	0.962992259301588	0.152533862429346	0.175627050148963
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.767720920516541	0.999999314583803	5.50416492209161e-17	1.98994412680252e-33	0.36468587535927	0.999952901797797	0.179679581098257	3.64466689674776e-33	0.82119541698371	0.851689373522218	0.999999992287669	0.999953349461612	3.54984341953813e-07	0.99999995422012	0.9999999999995	2.39878794944812e-24	0.999999999998612	4.22668034734094e-21	0.999999940601108	0.999999985736861	0.667619241804514	1.8662926582116e-29	9.96882758164886e-21	0.999447514971911	0.0630731625584425	0.819607482017813	0.999953728373094
