cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	0.0052495935512284	0.999435491703471	0.842861495225356	0.895778178125987	0.777894567639225	0.998754674637005	0.178399256364162	0.628295157448721	0.911176912295285	0.80726790972244	0.99976877542157	0.998754616704794	0.399976305562733	0.715389513947061	0.999999570247383	0.589991488831686	0.999999915450558	0.986177570271128	0.999967966810539	0.691460252034255	0.529526814395832	0.898041105198694	0.455288980166754	0.999999453982954	0.929606618872627	0.91210183620587	0.998751999621594
Bladder.Bladder mesenchymal cell	0.221709456764877	0.999878952072393	0.903826829411526	0.161362380358873	0.843783045602413	0.826913538888845	0.790826771997449	0.857909796313634	0.869795850793016	0.894765025704193	0.999948433865488	0.827091617470848	0.369933894321646	0.989138986461342	0.999999753042701	0.606194980105795	0.999949992669842	0.598334170464212	0.954923347461396	0.999999970020359	0.0265860929558718	0.459972110142997	0.295213430972756	0.868483910342476	0.977777823078502	0.865912811996177	0.827259385490648
Bladder.Luminal bladder epithelial cell	0.0951380469571888	0.979193933074143	0.635093676458108	0.965309770043348	0.610801116264632	0.993427086549649	0.24639955878271	0.918284071147236	0.739112363001652	0.718153569919546	0.996435933920894	0.993409919677392	0.535280227826842	0.224162824533486	0.999930050108698	0.826012351368074	0.999998403211139	0.99739782647008	0.99466502664562	0.449056420743768	0.712717402605064	0.951243296358473	0.803727905036569	0.999885446131959	0.885277389224757	0.740396007820597	0.993394173741979
Brain_Myeloid.macrophage	0.952576216655315	3.2468566971904e-06	0.994724461764184	0.999775624843809	0.634849628092852	1.2908396968727e-10	0.467977713628653	0.996837568227102	0.0383732217299638	0.00521859156579639	7.19114116474391e-07	1.33176295448089e-10	0.550991772777537	0.375733250342363	8.06101664958502e-09	0.998184583669105	9.92556936368993e-18	0.955221229095272	0.00107874527182564	0.0610269494534508	0.999393432233124	0.980797006813748	0.942678017996766	2.16269477278746e-05	0.994475823655762	0.0391853558269339	1.34775024045024e-10
Brain_Myeloid.microglial cell	0.965885535197037	0.0450792240486396	0.997814408749222	0.959740411505222	0.460034256282361	0.00443901798770961	0.516153343434656	0.988213258829886	0.725748900148755	0.181882973516491	0.0308970714690676	0.00446455966733858	0.76510530773734	0.698589613350654	0.0048924411891243	0.925550518560083	0.000607812980373962	0.907359195277997	0.494723885993772	0.617149013978007	0.8933811594805	0.944417927750221	0.749715801654206	0.0229839841635153	0.977278442522706	0.72679066197068	0.00449719790045621
Brain_Non-Myeloid.Bergmann glial cell	0.508135672118671	0.999920842865813	0.00723914932612538	0.000815042479108389	0.980611629280656	0.999636901993954	0.866913950564955	2.72161392506676e-07	0.999492846321593	0.997062782143806	0.999999280261395	0.999639607563932	0.20609670432318	0.999987779577692	0.999999950810091	1.02958748144071e-05	0.999999998400892	1.82649260882126e-06	0.999999982075072	0.999999999675096	0.888578055642915	0.00037617463178052	8.6948198069679e-06	0.991229830275178	0.9856159594968	0.999503356920432	0.999643680803274
Brain_Non-Myeloid.astrocyte	0.661501703089706	0.995179387014379	0.0127542328166343	0.000658220586715996	0.999047378612702	0.99919120459905	0.767751235674966	7.09393325526256e-07	0.966574961230796	0.93285862965871	0.999837013533037	0.99919103255411	0.340687047278185	0.999932503579955	0.999999836375596	0.000178073318193333	0.999999967763083	9.3429532851486e-06	0.999991275359437	0.999999999967305	0.89992672851159	0.00341447066669374	1.48649895224248e-05	0.964613826072409	0.939483572997605	0.96730922595113	0.999194657373134
Brain_Non-Myeloid.brain pericyte	0.000275586083256978	0.999986694451452	0.0737506672164817	0.00131374493022141	1.160394498773e-06	0.994833681352529	0.0498903279598494	0.00862984611769538	0.0467370834066739	0.0552465724183157	0.998806931816623	0.994820369152728	0.00389166725053024	0.534530005598942	0.912129693213125	0.729754247857141	0.479494538645053	0.229353664192643	0.99893357996761	0.803690099012252	1.13755129193941e-13	0.445262346947131	0.386031215683199	0.997071051374414	0.634715967401121	0.0481615515749483	0.994805566598791
Brain_Non-Myeloid.endothelial cell	0.179862081630201	0.980538169008631	0.972314531661386	0.967240059050775	0.225146434441451	0.17651925254597	0.279812317032334	0.994577767943233	0.39618631085968	0.278945975830219	0.988763837435179	0.176301259800694	0.452127230444987	0.445498287950714	0.56167124939753	0.795303392656707	0.536212425284622	0.67231921039904	0.930719181160764	0.93129944219461	0.000414689357570897	0.887562300549446	0.73482750065809	0.895551651746849	0.871467524958124	0.399451170672383	0.175715398119701
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.748217154281456	0.99999998905176	8.07865198306358e-15	1.61504172389945e-25	0.53612772212785	0.999996830184517	0.579557596553756	2.352857952798e-29	0.922739142163052	0.943254723926888	0.999999999996484	0.999996821885167	9.74926249926973e-09	0.999999992727085	0.999999999999999	1.06137487003408e-23	0.999999999999998	6.50677419840242e-18	0.999999997509613	0.999999999841892	0.80976026661871	9.61447437140035e-24	4.24530220946477e-18	0.999928128795065	0.176351612045135	0.921798775631682	0.999996857559102
