cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	0.00369041458958783	0.999082163003668	0.857540189355981	0.892526547271581	0.886589023737809	0.999717044136676	0.11952082592803	0.776601409469227	0.947056979906459	0.866765033136108	0.999752854355227	0.999716937176313	0.389955627894033	0.762257490683513	0.999999516547774	0.576756966556958	0.99999993007957	0.978070938674971	0.999896563859229	0.584696010484895	0.712804052564251	0.899117109047436	0.408175818400641	0.999999572451711	0.938405201928877	0.947151738954051	0.999717431712699
Bladder.Bladder mesenchymal cell	0.248097229963992	0.999837868548807	0.938698819503889	0.157902060265549	0.798321524621847	0.856031622386555	0.78238130523684	0.796993155683848	0.805048778893986	0.887516002789524	0.999898074581192	0.85596994735042	0.611201710922377	0.968648244638463	0.999999910224499	0.68568574701208	0.999856520358101	0.685537618129791	0.983264581020888	0.999999972842417	0.0207332507671841	0.401309424384193	0.32333460420209	0.823157624976	0.963679216801734	0.803607790413783	0.856508660763475
Bladder.Luminal bladder epithelial cell	0.156111968045194	0.980632719330402	0.692223732832828	0.9699607032758	0.781738624268779	0.997917171949091	0.205791387587493	0.964254437507245	0.860085439422019	0.867510835003793	0.997136177721879	0.997912121007099	0.568775166205972	0.367769043626451	0.999978933201817	0.782225603251059	0.999999431495737	0.996379468447732	0.986415536023818	0.509564421567978	0.850868100208498	0.958677863885763	0.744990438403726	0.999902784821146	0.886093206330426	0.85992564104442	0.99792273092783
Brain_Myeloid.macrophage	0.935883666240328	3.02666129362313e-06	0.992895972112482	0.999799769025073	0.580638371669966	1.30377777793857e-08	0.746133340426331	0.995425998091856	0.0776443543384187	0.00362062770924854	1.0778477947515e-06	1.29732738353058e-08	0.616209003686692	0.477244251593103	3.94031703723242e-08	0.993058989268569	2.20461504042983e-17	0.928944514954693	0.00112373156053446	0.101839508619535	0.999214664392496	0.956226380227549	0.960414161268277	6.72185027190348e-06	0.996924472732167	0.0783255034745377	1.33028632053504e-08
Brain_Myeloid.microglial cell	0.974104772940838	0.0493080100396768	0.997099415488122	0.980134259179494	0.43700511324257	0.0182152568547171	0.67925039957584	0.988766554060607	0.80725211103143	0.214083437846648	0.0457055694986032	0.0182018198449341	0.753657006927927	0.785019485847477	0.0124112114957609	0.860029098276061	0.00234627155110468	0.837127312826852	0.448167705647856	0.718434183344707	0.89489316923781	0.875861687946233	0.831770052571853	0.00637443884101162	0.988340403039582	0.807490100792682	0.0182766071303921
Brain_Non-Myeloid.Bergmann glial cell	0.615593775799738	0.999945180529206	0.00527716552499947	0.000813391943239128	0.988192246938948	0.999514737245842	0.828404021746078	8.43623576906058e-07	0.998284729600406	0.997409700771037	0.999999528441601	0.999514267297185	0.325740087708396	0.999989191108828	0.999999849331548	5.3657631265115e-06	0.99999999860836	1.16376375962813e-05	0.999999661968189	0.999999999573703	0.878068127669168	0.000154117344621446	8.49665950571136e-06	0.994825413881087	0.984746310586166	0.998293984291396	0.999510515461165
Brain_Non-Myeloid.astrocyte	0.748052071504336	0.995300154869608	0.00594539430928193	0.000748078907352363	0.999549120389461	0.998622312199517	0.661178569803899	2.04099456412003e-06	0.959032582388851	0.932803875060267	0.999877450041346	0.998621243583958	0.442036635893643	0.999969046563759	0.999999101721479	0.000195459843554	0.999999936289372	1.74541872107236e-05	0.999983043029319	0.999999999880213	0.886062500755363	0.00204519510177921	1.85336407699914e-05	0.984608587787216	0.948050398676155	0.95935775722267	0.998623417512378
Brain_Non-Myeloid.brain pericyte	0.000193005041680594	0.999986517821508	0.0945070008813093	0.0042753846725222	3.739450691986e-06	0.979914588157238	0.116016414804193	0.0160132111057171	0.0854601866823031	0.132332750830018	0.99926265935176	0.979915620600477	0.0280311364466329	0.541174797384993	0.95373017795161	0.737174864485636	0.414612942689173	0.333461163170203	0.998265131952052	0.901388084136032	1.85454559553824e-12	0.605547563268436	0.353241697642383	0.993776724641059	0.825637968668855	0.0868468309887738	0.980015578065641
Brain_Non-Myeloid.endothelial cell	0.114100154812665	0.970216375591237	0.973233883117378	0.930261215358278	0.266010966793596	0.23221442597268	0.239727635927572	0.996762075707102	0.346928164217344	0.410774705896147	0.991550532242425	0.232287405065667	0.63749786390801	0.507157420768991	0.525738319926399	0.820860817462082	0.548407422913999	0.778316930160182	0.870661631561	0.967980502435286	0.000257077391286692	0.9403769908931	0.728074541647852	0.825849062082038	0.862490728481967	0.348279232663345	0.233029575331827
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.851313551466883	0.999999983540648	9.44787082917594e-15	8.54911584109143e-26	0.593522238532401	0.99996768505707	0.494115096169974	4.72083390783517e-31	0.910385836351118	0.927073462069362	0.999999999835449	0.999967684749556	2.20018958860581e-08	0.999999938416437	0.999999999999873	7.67597956367341e-23	0.999999999999996	3.18781331252623e-18	0.999999999053657	0.999999992752504	0.812873895031674	1.20815917061462e-24	1.40186134901115e-17	0.99995663355004	0.173247341025291	0.911231548593482	0.999967724062363
