cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Brain_Non-Myeloid.inhibitory neurons	0.624807072582611	0.999997212633589	9.13669521987089e-19	4.06280100906898e-25	0.343152516646924	0.99953398448078	0.102676405966138	3.38123999790443e-33	0.979997195197611	0.896362645501523	0.999998287223338	0.999529973469782	5.53211768643848e-06	0.999999571590158	0.999999999998963	5.99497286429325e-22	0.999999999999123	2.29352045235175e-17	0.999999983643758	0.999999988540681	0.429954290458787	1.33440326739505e-22	5.71559798766261e-18	0.999836254612028	0.243250690053656	0.980189065219968	0.999533829586045
Brain_Non-Myeloid.oligodendrocyte	0.50849854279914	0.923092470784629	0.0175289294892729	0.00112669423862099	0.844604431723555	0.867890494057495	0.326483614723616	0.00210754751791961	0.460753081073445	0.553531632596148	0.952412795283375	0.867666749233805	0.00358950189996859	0.939265669413568	0.993843814322198	0.00642784268225938	0.892692649211241	5.19895478518001e-05	0.978022276064082	0.715558192885164	0.779568030751466	0.000413972067469436	0.000191476430486085	0.882904189280564	0.313059831357796	0.461174283699653	0.867855379173668
Brain_Non-Myeloid.oligodendrocyte precursor cell	0.863340180598365	0.999837860095604	8.56271766045692e-08	6.26145926901417e-19	0.835975153720288	0.999966370830374	0.44638369078239	2.79530157070755e-17	0.987201713270244	0.96235840243857	0.999999951848793	0.999966282890702	0.0032274621518197	0.99999959785971	0.99999999998214	3.60150681169833e-12	0.999999999999569	6.08054329768874e-15	0.999999912764806	0.999999999795123	0.719566589929279	2.89780617923339e-15	2.69201275813588e-16	0.960854874180325	0.624940363614435	0.987409247604216	0.999966354766249
Fat.B cell	0.859409911665594	7.38751940020012e-20	0.908372508159094	0.999217718100751	0.698121252755543	5.44984196341264e-17	0.802597586388016	0.961496553460683	0.57424295247395	0.191106185495307	5.84055414301359e-20	5.58928668617605e-17	0.654389589998016	0.270814624251894	9.22124761884868e-23	0.576412972543254	3.20495475320074e-07	0.54170887255799	4.41530861913922e-22	0.726658324226161	0.972081109445812	0.872672622657303	0.882031527996309	6.7681140750011e-14	0.109919802698431	0.572648613261366	5.44804069838243e-17
Fat.T cell	0.653208839901322	4.64207172165734e-39	0.219737607030735	0.993910371437634	0.736548576356848	3.84993499620597e-24	0.730639864566069	0.891352679479776	0.987152700674222	0.699889590624744	4.34181073996964e-37	4.00828410567155e-24	0.76891499846479	0.693981216947201	1.52313196519025e-23	0.669394102568133	4.93682689347127e-05	0.90910456935767	1.22784997445999e-23	0.0609572150016338	0.998763504326763	0.905375516045646	0.962814851336372	9.73595606875358e-19	0.886936503777145	0.987081405171331	3.84796525729796e-24
Fat.endothelial cell	0.0529011375720542	0.95127835526933	0.9232553075238	0.917431480905724	6.6734033576163e-05	0.723777371963566	0.479645228692072	0.967505338499057	0.073279728206696	0.0157753062057147	0.926723444753861	0.724007468237489	0.89054560142008	0.326838821816835	0.0102305474580824	0.670183419220455	0.0453723253268065	0.863670511132045	0.808270724943353	0.984407851906316	9.25786369139621e-07	0.974704144074296	0.975220226705909	0.545910497543707	0.906799428585468	0.0737995771803203	0.723754255853925
Fat.mesenchymal progenitor	0.124246300128606	0.999687392594871	0.97471177303034	0.521865080872362	0.588602950662925	0.726916747656859	0.808293193358826	0.977796111615575	0.621727989976883	0.851142050492602	0.999862078077201	0.72665614545728	0.837010972407936	0.941724838402955	0.999995251269447	0.724049479138777	0.997328116401183	0.844884684404725	0.981930313860046	0.999998440941545	3.13802432670068e-05	0.908175473203924	0.874893210633049	0.928454035923372	0.941673211132667	0.618238297234576	0.726919967015858
Fat.myeloid cell	0.973256537812123	1.79584706387877e-11	0.961143643445342	0.999999955764713	0.982631946330967	1.24266060026056e-16	0.772969853968814	0.999538862302505	0.3020837224201	0.00299487916141894	1.16825455335803e-13	1.27676757392037e-16	0.987254260861254	0.000575585383778795	3.312414379576e-11	0.994109525315641	2.37528943042406e-25	0.989039925785974	3.35362965855283e-08	0.0185546517010453	0.999974738295778	0.991979882203632	0.989928188509972	0.00103841974026672	0.997269852973839	0.300501364242209	1.24147223105545e-16
Fat.natural killer cell	0.994429090522185	5.48662282778427e-14	0.989878318359818	0.999540597883057	0.991008924018751	7.17169986873155e-17	0.924045739762534	0.999972205992138	0.992160548926345	0.978293442758238	1.91325404886343e-14	7.3647567798218e-17	0.972838837731656	0.559251117231118	3.26313590561312e-16	0.999705062223003	1.37645959121963e-06	0.977769463403128	3.33181942913006e-08	0.565392228791318	0.999813955076494	0.99991954920542	0.958935432060373	9.91264492053402e-08	0.978322542840163	0.992031013079411	7.16926055346207e-17
Heart.cardiac muscle cell	1.15576966165192e-05	0.999692097390319	0.67762042086818	0.411273745535229	0.027785739958965	0.998712736107033	0.0237888837795816	0.685042335527179	0.107306794928032	0.497051041105471	0.999588494195723	0.998703888465118	0.0232599805529125	0.594090108774215	0.997272077938869	0.714654434364498	0.993830512790186	0.818211892595869	0.999985094507466	0.813888539150972	0.048569375600969	0.771916117499433	0.512639067514587	0.998046384935977	0.0503255441866892	0.108949826845324	0.998711788214412
