cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Bladder.Basal bladder epithelial cell	0.000560418851720131	0.990411630527264	0.981270553183847	0.668678157653337	0.782640403653791	0.993019228360024	0.106557702356423	0.520359895521742	0.873108436975648	0.828551187913842	0.999030883191169	0.993024826085879	0.0823439051383088	0.914963938494668	0.99999195377957	0.343217285460677	0.999997021109878	0.856744744827572	0.999660941071162	0.45626343727515	0.616819956340675	0.545983504165333	0.35298578372741	0.99999518991473	0.763823672757251	0.873891505215327	0.993024184717718
Bladder.Bladder mesenchymal cell	0.155491097626155	0.999531655618858	0.926607858595438	0.0505099504965136	0.57402329841303	0.501223119106649	0.468257473155445	0.798270777350406	0.502979638431628	0.582935639422992	0.99984292949797	0.50137657477299	0.371613264292013	0.972867835709795	0.99993921558664	0.43296409199706	0.999370285530162	0.349563508278034	0.862459517191742	0.999993161589791	0.000245024984867127	0.53810572472221	0.242548066976547	0.697821742665529	0.903418680707069	0.503988053377097	0.501274394200653
Bladder.Luminal bladder epithelial cell	0.0703402886864692	0.956947167645351	0.966366535332218	0.955079833200906	0.784181785098054	0.995713736775124	0.432143407477984	0.935375382423028	0.85676886291722	0.852247615766144	0.997857123461198	0.995744343596175	0.166249575782153	0.641106264586036	0.999973894293701	0.884958109385217	0.999998426326768	0.967672112835223	0.997658193334165	0.502936539012703	0.894435058724425	0.848129678665285	0.762344999554189	0.999744382218905	0.898291021364475	0.857421117516488	0.995726540142584
Brain_Myeloid.macrophage	0.954919751838772	1.34950914344392e-05	0.827010234832211	0.999830217347169	0.748227184395382	9.6870893712615e-08	0.858289107904323	0.999844162942776	0.0948860412251745	0.0147320066770491	2.08412590601948e-07	9.91759409006316e-08	0.643365558094025	0.618457546634693	1.42416292268247e-07	0.99997893840211	2.80534666073124e-17	0.998516026973437	0.00473471800270044	0.0404449077604731	0.9997998230239	0.994709812268393	0.984601085914935	0.00112042475287929	0.978906848233865	0.0946876167202888	9.85557070976913e-08
Brain_Myeloid.microglial cell	0.953617291062392	0.0472034320984343	0.896435995281697	0.977391360815738	0.383710597703683	0.0314952612852674	0.73373547010885	0.99612536195832	0.631183405902287	0.250437673236585	0.0138279724437729	0.0317780714448774	0.848956568386985	0.838439726954673	0.00883237913500903	0.998047183272005	0.000524083371520351	0.977635101372383	0.478975327734541	0.394615689922597	0.936552996413474	0.969935132901652	0.879219475859824	0.112860623983075	0.925526785580171	0.630791261378249	0.0316874510887685
Brain_Non-Myeloid.Bergmann glial cell	0.587734640860529	0.999557191230456	0.000306554128277227	4.86852531469291e-06	0.899274124095571	0.998954201930974	0.56834847650135	3.19725951630733e-08	0.994998111840445	0.990300594852463	0.999992885990361	0.998966660481311	0.150701304025151	0.9998762042044	0.99999551187588	6.39222623409514e-06	0.999999979337239	1.15403487461508e-07	0.999999991581561	0.999999988765028	0.742358033760132	5.09249371306963e-06	2.31311479323062e-07	0.933049227547339	0.940155836260518	0.995024177736788	0.998962464376898
Brain_Non-Myeloid.astrocyte	0.6375832062862	0.991350225220324	0.000104550944611921	9.98437297794329e-06	0.993442557669518	0.990665933434481	0.515072025071459	1.8521430822213e-07	0.928871407558135	0.896673616769043	0.998992404572906	0.990728257366211	0.362427596061167	0.999866231403706	0.999988091131684	0.00174538161688519	0.999999728906569	3.88180980027975e-07	0.999994135864035	0.999999997303461	0.908391822390435	0.000484527644118174	9.95725217721768e-06	0.918810651451421	0.940349131333899	0.929180297262244	0.990704049998295
Brain_Non-Myeloid.brain pericyte	2.15725173815588e-05	0.997656898289794	0.0653702481879742	0.000469736573818703	2.93349513770439e-10	0.995084310330908	0.000778807415497667	0.017494476868842	0.019520569061237	0.0369790056972707	0.977462876872494	0.995102085733344	0.0029184966555625	0.51946824112073	0.698082778824161	0.757476554251205	0.410752574050327	0.0928964182229526	0.993488411052067	0.59462373126876	5.3734918835365e-18	0.82990371770979	0.460242648687653	0.997662757979492	0.74361986560399	0.0196505064714495	0.99508072555052
Brain_Non-Myeloid.endothelial cell	0.0164633490433416	0.931570092062704	0.917208833852282	0.870646295316512	0.0482604304313445	0.316859052941673	0.427726137776379	0.879131129967402	0.231458336967903	0.407343624441878	0.951493617322516	0.316164755168437	0.400200031904055	0.389113555518545	0.221583395396877	0.451951504058673	0.382622214219397	0.662467483280644	0.960864394082856	0.957798635922616	1.39347780033611e-05	0.849681515407557	0.710335337680355	0.785149093607407	0.957295080424368	0.231359722612817	0.316408394035424
Brain_Non-Myeloid.excitatory neurons and some neuronal stem cells	0.615532018792553	0.999997762428698	1.44334220755031e-18	1.72577674117308e-34	0.341212513454533	0.99995267489638	0.262282046474625	1.00787634539127e-32	0.84210773325147	0.847486579671717	0.999999926685187	0.999951432965027	3.32870507215732e-07	0.999999831080264	0.999999999998452	4.42611479177204e-24	0.999999999995587	8.03557832103043e-21	0.999999900918683	0.999999959705917	0.565638406086583	2.10587904310061e-29	1.13734978243901e-20	0.999749346851619	0.0730700002137655	0.842396603371497	0.999952111765217
