cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Brain_Non-Myeloid.inhibitory neurons	0.627467682604228	0.999999965959553	5.14793747271988e-17	1.3271913365899e-19	0.371934744088777	0.999961362631014	0.166770243579159	1.14478881659377e-31	0.970006556854585	0.950559096462874	0.999999995090603	0.999956181486257	3.00392773079935e-06	0.999999878419369	0.999999999999997	5.96004948355049e-21	0.999999999999831	4.05114308856408e-16	0.999999999512415	0.999999999843934	0.450918520301054	2.16538615494171e-21	1.44874860974923e-15	0.999921369775378	0.174974027275094	0.970100176667022	0.999956927925293
Brain_Non-Myeloid.oligodendrocyte	0.891739309332202	0.891862491269061	0.0409576419049861	0.00122778284645605	0.555712628544128	0.801609753849619	0.225247393992268	0.000430560561329776	0.478481697992631	0.399935493246071	0.973942348132461	0.803243809260628	0.0012400706295983	0.953223238577276	0.999373350028124	0.00190517921334102	0.96135547168494	0.000118253165021671	0.839732248615552	0.722996520061251	0.356825309439499	2.16767634958441e-05	1.45232025149443e-05	0.756873443862511	0.540781504875731	0.480467175642425	0.803238369546875
Brain_Non-Myeloid.oligodendrocyte precursor cell	0.834302573160417	0.999864346396561	2.18809542418674e-05	1.05412542679035e-13	0.91771335252555	0.999997028124635	0.879501829330192	1.17768078349477e-13	0.986559386107182	0.990929602039427	0.999999995893551	0.999997031093877	0.0056935559200876	0.99999997539195	0.999999999999964	1.07681309237909e-10	0.999999999999989	1.53323578039899e-13	0.999999669419915	0.999999999999345	0.818558672005179	4.27629770586287e-13	7.1576795527818e-15	0.995713805540292	0.734403247665568	0.986701748335573	0.999997046764824
Fat.B cell	0.712571570466874	8.49626853423289e-26	0.857716986520522	0.978694097816188	0.535788628610316	4.96487720813647e-20	0.415163601656823	0.936955701104774	0.260351461775948	0.0722926002178478	1.13349295730795e-24	5.9612210840475e-20	0.632582430912314	0.126283633456964	2.99129088057403e-24	0.307718469543524	6.6665056807843e-08	0.454948065702531	8.50032289212454e-29	0.399965656560653	0.933314381663771	0.478373614708065	0.778041512649273	1.28809422708121e-14	0.258075760303145	0.260962280516081	5.79645564562542e-20
Fat.T cell	0.581156219115051	8.06552192457749e-39	0.27603198979482	0.98065540982669	0.865690771564149	6.57548937563174e-24	0.929844459969591	0.877917990091841	0.980037170818852	0.625454336702252	8.80010184967011e-40	7.14336820730345e-24	0.877724668271964	0.808293766045487	3.5734670468864e-25	0.295973134186571	4.57655064919765e-05	0.846915543181075	1.739304094551e-25	0.03408065346323	0.997649230064482	0.945629108678619	0.916301233160103	3.92523420472808e-21	0.759191522604798	0.979992047975532	6.88134154023766e-24
Fat.endothelial cell	0.232337661747763	0.920118135994446	0.96970813538583	0.944133263476022	0.00149473039287879	0.615435168290176	0.327339786391001	0.967533976689654	0.150040923493766	0.0144457461929342	0.868414357914173	0.620012595057978	0.899791497970373	0.323046782447455	0.00343482304265521	0.572348117854168	0.0179059985407912	0.821880953279936	0.648642989421372	0.963782303463722	2.99691948272598e-06	0.959143712797457	0.982999818203179	0.665943620192733	0.869248449056722	0.149257087864413	0.61933934253193
Fat.mesenchymal progenitor	0.243045907772838	0.999848307098107	0.977260299168047	0.820594217217097	0.744431354667794	0.710369529244241	0.899657159053653	0.986781588573592	0.792957071739865	0.928684939388573	0.999275537743089	0.71047485621757	0.656249548757002	0.954844862366991	0.999999313962081	0.702788430167193	0.998785981890811	0.80398254586498	0.959576506670674	0.999999894654999	0.00268642821866126	0.876611413132598	0.847003951199001	0.964371372691776	0.971012403016682	0.791985872277398	0.709304378497212
Fat.myeloid cell	0.893625909918246	8.37641660524363e-15	0.992242286804479	0.999999806303679	0.903437952365442	1.1927677773446e-19	0.251669933876164	0.999559916933733	0.0919428348080176	0.00147139868470678	4.05667112424306e-14	1.26270220870268e-19	0.88794707223585	0.000295078685870133	2.58577716166867e-14	0.97447930934999	5.18896344357099e-26	0.885723265755107	2.73415849418665e-09	0.00110832449940089	0.999847966656899	0.952893210562209	0.991075338487207	6.90694183450372e-05	0.993402057117323	0.0917163376598098	1.21095621352317e-19
Fat.natural killer cell	0.917366933231616	4.11098488759366e-14	0.997950302237506	0.999828164323061	0.990542549577615	1.04444512364598e-17	0.961906705830148	0.999673554746007	0.979398711501723	0.99183202121372	9.57467231135154e-16	1.13600574683377e-17	0.983163949615591	0.488907248714586	1.15694266107189e-17	0.999877819141733	4.61983372379515e-06	0.997831403986208	4.97805424564011e-08	0.328796193802727	0.999426715275126	0.999887235307308	0.964786255987836	4.91369413843282e-08	0.951179296991387	0.979598797180218	1.12343915087709e-17
Heart.cardiac muscle cell	2.79155570101069e-06	0.998719710412812	0.54441155389851	0.616428322705628	0.182040989607398	0.999281042192992	0.0312218183263181	0.461373733220603	0.172157507390217	0.539621118756931	0.999944790287108	0.999234544592365	0.0456776680774748	0.636868426026362	0.996905468598182	0.512093524927668	0.99749059043331	0.858904001514476	0.999963886775425	0.719168226655132	0.0713566349746151	0.687686721807931	0.404091095031533	0.956292635233524	0.080678370962708	0.172708534309005	0.999235875980607
