ds_index	size	processing_time	association_time
1	100k	42.0081307888031	15.817
1	100k	42.0081307888031	15.322
1	100k	42.0081307888031	15.758
1	100k	42.0081307888031	14.218
1	100k	42.0081307888031	14.394
1	10k	4.96079349517822	14.711
1	10k	4.96079349517822	15.018
1	10k	4.96079349517822	15.664
1	10k	4.96079349517822	14.481
1	10k	4.96079349517822	14.8
1	150k	75.2393913269043	15.726
1	150k	75.2393913269043	15.866
1	150k	75.2393913269043	15.893
1	150k	75.2393913269043	13.757
1	150k	75.2393913269043	13.279
1	200k	92.0060074329376	15.352
1	200k	92.0060074329376	15.547
1	200k	92.0060074329376	15.908
1	200k	92.0060074329376	15.494
1	200k	92.0060074329376	14.792
1	250k	117.710741996765	14.856
1	250k	117.710741996765	14.609
1	250k	117.710741996765	15.083
1	250k	117.710741996765	14.626
1	250k	117.710741996765	13.879
1	25k	6.7987334728241	14.84
1	25k	6.7987334728241	14.578
1	25k	6.7987334728241	15.239
1	25k	6.7987334728241	14.32
1	25k	6.7987334728241	14.272
1	300k	80.9431555271149	18.501
1	300k	80.9431555271149	18.426
1	300k	80.9431555271149	18.867
1	300k	80.9431555271149	17.554
1	300k	80.9431555271149	17.396
1	50k	18.2153053283691	15.912
1	50k	18.2153053283691	15.261
1	50k	18.2153053283691	15.551
1	50k	18.2153053283691	14.401
1	50k	18.2153053283691	13.147
2	100k	41.9591534137726	15.196
2	100k	41.9591534137726	15.951
2	100k	41.9591534137726	15.828
2	100k	41.9591534137726	14.075
2	100k	41.9591534137726	14.238
2	10k	4.44664454460144	16.494
2	10k	4.44664454460144	16.386
2	10k	4.44664454460144	15.917
2	10k	4.44664454460144	14.874
2	10k	4.44664454460144	15.184
2	150k	88.163792848587	15.79
2	150k	88.163792848587	14.956
2	150k	88.163792848587	14.626
2	150k	88.163792848587	13.453
2	150k	88.163792848587	13.118
2	200k	88.8844685554504	15.759
2	200k	88.8844685554504	14.504
2	200k	88.8844685554504	16.681
2	200k	88.8844685554504	14.128
2	200k	88.8844685554504	13.812
2	250k	99.6075704097748	15.253
2	250k	99.6075704097748	14.743
2	250k	99.6075704097748	15.84
2	250k	99.6075704097748	14.048
2	250k	99.6075704097748	14.537
2	25k	7.15188980102539	16.039
2	25k	7.15188980102539	15.654
2	25k	7.15188980102539	16.004
2	25k	7.15188980102539	14.991
2	25k	7.15188980102539	13.996
2	300k	118.438292503357	15.44
2	300k	118.438292503357	14.331
2	300k	118.438292503357	15.538
2	300k	118.438292503357	13.855
2	300k	118.438292503357	14.03
2	50k	10.6866981983185	16.398
2	50k	10.6866981983185	16.259
2	50k	10.6866981983185	17.183
2	50k	10.6866981983185	15.099
2	50k	10.6866981983185	15.336
3	100k	46.3411574363708	16.416
3	100k	46.3411574363708	15.916
3	100k	46.3411574363708	14.878
3	100k	46.3411574363708	14.256
3	100k	46.3411574363708	13.573
3	10k	4.52371668815613	16.632
3	10k	4.52371668815613	15.81
3	10k	4.52371668815613	15.849
3	10k	4.52371668815613	15.08
3	10k	4.52371668815613	15.19
3	150k	74.0012040138245	14.599
3	150k	74.0012040138245	14.597
3	150k	74.0012040138245	14.189
3	150k	74.0012040138245	12.783
3	150k	74.0012040138245	13.028
3	200k	90.0866963863373	15.208
3	200k	90.0866963863373	16.424
3	200k	90.0866963863373	17.353
3	200k	90.0866963863373	14.669
3	200k	90.0866963863373	14.335
3	250k	99.8228194713593	15.924
3	250k	99.8228194713593	15
3	250k	99.8228194713593	15.411
3	250k	99.8228194713593	14.546
3	250k	99.8228194713593	14.795
3	25k	8.94531774520874	15.01
3	25k	8.94531774520874	15.013
3	25k	8.94531774520874	15.478
3	25k	8.94531774520874	14.69
3	25k	8.94531774520874	14.473
3	300k	136.58900475502	15.473
3	300k	136.58900475502	15.07
3	300k	136.58900475502	15.015
3	300k	136.58900475502	14.307
3	300k	136.58900475502	14.553
3	50k	13.4041121006012	16.018
3	50k	13.4041121006012	15.654
3	50k	13.4041121006012	16.064
3	50k	13.4041121006012	14.56
3	50k	13.4041121006012	14.221
4	100k	40.5708472728729	16.557
4	100k	40.5708472728729	16.645
4	100k	40.5708472728729	15.026
4	100k	40.5708472728729	15.01
4	100k	40.5708472728729	15.249
4	10k	4.61140704154968	15.482
4	10k	4.61140704154968	15.59
4	10k	4.61140704154968	16.358
4	10k	4.61140704154968	15.195
4	10k	4.61140704154968	14.373
4	150k	69.4615807533264	15.574
4	150k	69.4615807533264	16.761
4	150k	69.4615807533264	16.1
4	150k	69.4615807533264	15.316
4	150k	69.4615807533264	14.772
4	200k	95.6529557704926	14.681
4	200k	95.6529557704926	15.061
4	200k	95.6529557704926	14.837
4	200k	95.6529557704926	13.293
4	200k	95.6529557704926	13.182
4	250k	107.167298316956	15.362
4	250k	107.167298316956	15.034
4	250k	107.167298316956	15.95
4	250k	107.167298316956	14.149
4	250k	107.167298316956	14.812
4	25k	6.461998462677	14.311
4	25k	6.461998462677	14.07
4	25k	6.461998462677	17.136
4	25k	6.461998462677	15.423
4	25k	6.461998462677	14.427
4	300k	169.597821950912	15.04
4	300k	169.597821950912	14.57
4	300k	169.597821950912	14.966
4	300k	169.597821950912	14.775
4	300k	169.597821950912	13.772
4	50k	10.9175288677216	14.48
4	50k	10.9175288677216	14.012
4	50k	10.9175288677216	14.641
4	50k	10.9175288677216	16.485
4	50k	10.9175288677216	14.965
5	100k	43.9333202838898	15.435
5	100k	43.9333202838898	15.481
5	100k	43.9333202838898	17.133
5	100k	43.9333202838898	13.822
5	100k	43.9333202838898	14.263
5	10k	4.24424719810486	14.961
5	10k	4.24424719810486	14.563
5	10k	4.24424719810486	15.576
5	10k	4.24424719810486	14.008
5	10k	4.24424719810486	14.491
5	150k	62.6450982093811	15.195
5	150k	62.6450982093811	16.572
5	150k	62.6450982093811	16.382
5	150k	62.6450982093811	14.119
5	150k	62.6450982093811	14.655
5	200k	94.1817514896393	15.708
5	200k	94.1817514896393	15.192
5	200k	94.1817514896393	15.983
5	200k	94.1817514896393	15.066
5	200k	94.1817514896393	14.048
5	250k	101.189177513123	15.014
5	250k	101.189177513123	15.077
5	250k	101.189177513123	15.363
5	250k	101.189177513123	14.727
5	250k	101.189177513123	14.78
5	25k	8.91965007781982	14.917
5	25k	8.91965007781982	15.485
5	25k	8.91965007781982	16.199
5	25k	8.91965007781982	14.439
5	25k	8.91965007781982	14.108
5	300k	169.285813570023	14.697
5	300k	169.285813570023	14.295
5	300k	169.285813570023	14.577
5	300k	169.285813570023	13.861
5	300k	169.285813570023	13.668
5	50k	11.3956229686737	14.873
5	50k	11.3956229686737	14.584
5	50k	11.3956229686737	15.689
5	50k	11.3956229686737	14.073
5	50k	11.3956229686737	13.685
